16:59:36: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 47] Logger initialized
16:59:36: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 74] Current velocity vector: (0.00, 0.00, 4.00) m/s
16:59:36: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 74] Current velocity vector: (0.00, 0.00, -2.00) m/s
16:59:37: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 74] Current velocity vector: (0.00, 0.00, 0.00) m/s
16:59:37: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 74] Current velocity vector: (0.00, 0.00, 0.00) m/s
16:59:38: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 74] Current velocity vector: (0.00, 0.00, 0.00) m/s
16:59:38: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 74] Current velocity vector: (0.00, 0.00, 0.00) m/s
16:59:39: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 74] Current velocity vector: (0.00, 0.00, 0.00) m/s
16:59:39: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 74] Current velocity vector: (0.00, 20.00, 0.00) m/s
16:59:40: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 74] Current velocity vector: (0.00, 20.00, 0.00) m/s
16:59:40: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 74] Current velocity vector: (0.00, 20.00, 0.00) m/s
16:59:41: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 74] Current velocity vector: (20.00, 0.00, 0.00) m/s
16:59:41: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 74] Current velocity vector: (20.00, 0.00, 0.00) m/s
16:59:42: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 74] Current velocity vector: (20.00, 0.00, 0.00) m/s
16:59:42: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 74] Current velocity vector: (0.00, -20.00, 0.00) m/s
16:59:43: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 74] Current velocity vector: (0.00, -20.00, 0.00) m/s
16:59:43: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 74] Current velocity vector: (0.00, -20.00, 0.00) m/s
16:59:44: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 74] Current velocity vector: (-20.00, 0.00, 0.00) m/s
16:59:44: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 74] Current velocity vector: (-20.00, 0.00, 0.00) m/s
16:59:45: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 74] Current velocity vector: (-20.00, 0.00, 0.00) m/s
16:59:45: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 74] Current velocity vector: (0.00, 20.00, 0.00) m/s
16:59:46: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 74] Current velocity vector: (0.00, 20.00, 0.00) m/s
