16:59:34: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\common\modules\logger\logger_main_setup.py | setup_main_logger | 62] main logger initialized
16:59:35: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | main | 147] Connected!
16:59:36: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 90] Command worker output: CHANGE ALTITUDE: 1.00
16:59:36: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 90] Command worker output: CHANGE ALTITUDE: -1.00
16:59:39: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 90] Command worker output: CHANGE YAW: 63.43
16:59:40: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 90] Command worker output: CHANGE YAW: 90.00
16:59:40: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 90] Command worker output: CHANGE YAW: 116.57
16:59:41: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 90] Command worker output: CHANGE YAW: 45.00
16:59:41: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 90] Command worker output: CHANGE YAW: 63.43
16:59:42: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 90] Command worker output: CHANGE YAW: 90.00
16:59:42: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 90] Command worker output: CHANGE YAW: 26.57
16:59:43: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 90] Command worker output: CHANGE YAW: 45.00
16:59:43: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 90] Command worker output: CHANGE YAW: 90.00
16:59:44: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 90] Command worker output: CHANGE YAW: 45.00
16:59:44: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 90] Command worker output: CHANGE YAW: 90.00
16:59:45: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 90] Command worker output: CHANGE YAW: 135.00
16:59:45: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 90] Command worker output: CHANGE YAW: -26.57
16:59:46: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 90] Command worker output: CHANGE YAW: -45.00
16:59:46: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 90] Command worker output: CHANGE YAW: -90.00
16:59:47: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 90] Command worker output: CHANGE YAW: -45.00
16:59:47: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 90] Command worker output: CHANGE YAW: -90.00
16:59:48: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 90] Command worker output: CHANGE YAW: -135.00
16:59:48: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 90] Command worker output: CHANGE YAW: -63.43
16:59:49: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 90] Command worker output: CHANGE YAW: -90.00
16:59:49: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 90] Command worker output: CHANGE YAW: -116.57
16:59:50: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 90] Command worker output: CHANGE YAW: -45.00
16:59:50: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 90] Command worker output: CHANGE YAW: -63.43
16:59:51: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 90] Command worker output: CHANGE YAW: -90.00
