02:42:54: [INFO] [D:\Repositories\Project Repositories\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 46] Logger initialized
02:42:54: [INFO] [D:\Repositories\Project Repositories\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 86] Average speed so far: 4.00 m/s
02:42:55: [INFO] [D:\Repositories\Project Repositories\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 86] Average speed so far: 2.79 m/s
02:42:55: [INFO] [D:\Repositories\Project Repositories\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 86] Average speed so far: 2.13 m/s
02:42:56: [INFO] [D:\Repositories\Project Repositories\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 86] Average speed so far: 1.70 m/s
02:42:56: [INFO] [D:\Repositories\Project Repositories\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 86] Average speed so far: 1.36 m/s
02:42:57: [INFO] [D:\Repositories\Project Repositories\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 86] Average speed so far: 1.13 m/s
02:42:57: [INFO] [D:\Repositories\Project Repositories\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 86] Average speed so far: 0.97 m/s
02:42:58: [INFO] [D:\Repositories\Project Repositories\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 86] Average speed so far: 3.34 m/s
02:42:58: [INFO] [D:\Repositories\Project Repositories\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 86] Average speed so far: 5.19 m/s
02:42:59: [INFO] [D:\Repositories\Project Repositories\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 86] Average speed so far: 6.66 m/s
02:42:59: [INFO] [D:\Repositories\Project Repositories\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 86] Average speed so far: 7.87 m/s
02:43:00: [INFO] [D:\Repositories\Project Repositories\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 86] Average speed so far: 8.88 m/s
02:43:00: [INFO] [D:\Repositories\Project Repositories\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 86] Average speed so far: 9.73 m/s
02:43:01: [INFO] [D:\Repositories\Project Repositories\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 86] Average speed so far: 10.46 m/s
02:43:01: [INFO] [D:\Repositories\Project Repositories\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 86] Average speed so far: 11.09 m/s
02:43:02: [INFO] [D:\Repositories\Project Repositories\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 86] Average speed so far: 11.64 m/s
02:43:02: [INFO] [D:\Repositories\Project Repositories\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 86] Average speed so far: 12.13 m/s
02:43:03: [INFO] [D:\Repositories\Project Repositories\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 86] Average speed so far: 12.57 m/s
02:43:03: [INFO] [D:\Repositories\Project Repositories\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 86] Average speed so far: 12.95 m/s
02:43:04: [INFO] [D:\Repositories\Project Repositories\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 86] Average speed so far: 13.30 m/s
02:43:04: [INFO] [D:\Repositories\Project Repositories\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 86] Average speed so far: 13.62 m/s
02:43:05: [INFO] [D:\Repositories\Project Repositories\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 86] Average speed so far: 13.91 m/s
02:43:05: [INFO] [D:\Repositories\Project Repositories\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 86] Average speed so far: 14.17 m/s
02:43:06: [INFO] [D:\Repositories\Project Repositories\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 86] Average speed so far: 14.41 m/s
02:43:06: [INFO] [D:\Repositories\Project Repositories\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 86] Average speed so far: 14.63 m/s
02:43:07: [INFO] [D:\Repositories\Project Repositories\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 86] Average speed so far: 14.84 m/s
02:43:07: [INFO] [D:\Repositories\Project Repositories\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 86] Average speed so far: 15.03 m/s
02:43:08: [INFO] [D:\Repositories\Project Repositories\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 86] Average speed so far: 15.20 m/s
02:43:08: [INFO] [D:\Repositories\Project Repositories\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 86] Average speed so far: 15.37 m/s
02:43:09: [INFO] [D:\Repositories\Project Repositories\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 86] Average speed so far: 15.52 m/s
