01:26:35: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 47] Logger initialized
01:26:35: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity so far: 4.00 m/s
01:26:36: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity so far: 1.20 m/s
01:26:36: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity so far: 0.53 m/s
01:26:37: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity so far: 0.50 m/s
01:26:37: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity so far: 0.40 m/s
01:26:38: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity so far: 0.33 m/s
01:26:38: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity so far: 0.29 m/s
01:26:39: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity so far: 2.51 m/s
01:26:39: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity so far: 4.44 m/s
01:26:40: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity so far: 5.99 m/s
01:26:40: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity so far: 5.74 m/s
01:26:41: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity so far: 6.00 m/s
01:26:41: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity so far: 6.51 m/s
01:26:42: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity so far: 5.14 m/s
01:26:42: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity so far: 4.21 m/s
01:26:43: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity so far: 3.74 m/s
01:26:43: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity so far: 2.35 m/s
01:26:44: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity so far: 1.11 m/s
01:26:44: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity so far: 0.10 m/s
01:26:45: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity so far: 1.00 m/s
01:26:45: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity so far: 1.90 m/s
01:26:46: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity so far: 2.72 m/s
01:26:46: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity so far: 2.74 m/s
01:26:47: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity so far: 3.00 m/s
01:26:47: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity so far: 3.39 m/s
01:26:48: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity so far: 2.77 m/s
01:26:48: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity so far: 2.34 m/s
01:26:49: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity so far: 2.14 m/s
01:26:49: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity so far: 1.38 m/s
01:26:50: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity so far: 0.67 m/s
01:26:51: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 73] Queue is empty. All tasks completed.
01:26:51: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 78] Command worker finished successfully.
