01:23:33: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 47] Logger initialized
01:23:33: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 65] Telemetry data received and processed.
01:23:33: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 65] Telemetry data received and processed.
01:23:33: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 65] Telemetry data received and processed.
01:23:34: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 65] Telemetry data received and processed.
01:23:34: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 65] Telemetry data received and processed.
01:23:35: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 65] Telemetry data received and processed.
01:23:35: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 65] Telemetry data received and processed.
01:23:36: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 65] Telemetry data received and processed.
01:23:36: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 65] Telemetry data received and processed.
01:23:37: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 65] Telemetry data received and processed.
01:23:39: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 65] Telemetry data received and processed.
01:23:40: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 65] Telemetry data received and processed.
01:23:41: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 65] Telemetry data received and processed.
01:23:41: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 65] Telemetry data received and processed.
01:23:42: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 65] Telemetry data received and processed.
01:23:42: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 65] Telemetry data received and processed.
01:23:43: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 65] Telemetry data received and processed.
01:23:43: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 65] Telemetry data received and processed.
01:23:44: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 65] Telemetry data received and processed.
01:23:44: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 65] Telemetry data received and processed.
01:23:45: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 65] Telemetry data received and processed.
01:23:49: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 72] Worker has been terminated.
